station_id,urbanization_bin
USC00286055,9
USW00003812,3
USW00003813,2
USW00003822,6
USW00003945,1
USW00004725,0
USW00012836,2
USW00012839,9
USW00012916,9
USW00012921,8
USW00012924,3
USW00013722,4
USW00013733,3
USW00013865,2
USW00013872,6
USW00013880,7
USW00013882,8
USW00013883,6
USW00013893,8
USW00013894,5
USW00013897,7
USW00013957,5
USW00013962,2
USW00013984,1
USW00013985,1
USW00013995,2
USW00013996,4
USW00014733,9
USW00014735,6
USW00014742,6
USW00014765,8
USW00014768,7
USW00014771,7
USW00014837,5
USW00014845,1
USW00014860,4
USW00014898,7
USW00014913,1
USW00014914,4
USW00014920,4
USW00014922,8
USW00014933,5
USW00014936,1
USW00014942,5
USW00022521,6
USW00023066,3
USW00023185,8
USW00023188,9
USW00024018,7
USW00024022,0
USW00024023,0
USW00024029,2
USW00024090,0
USW00024127,8
USW00024128,1
USW00024144,4
USW00024213,3
USW00024227,4
USW00093193,9
USW00093729,0
USW00093817,5
USW00093819,6
USW00093820,3
USW00093822,3
USW00094012,0
USW00094728,9
USW00094908,0
