station_id,urbanization_bin
AG000060390,8
AJ000037985,7
AM000037789,9
AU000005010,4
AU000005901,9
AU000006306,8
AU000011801,7
AU000015410,0
AU000016402,8
AUE00000605,4
AUE00000606,4
AUE00000607,2
AUE00000611,1
AUE00002221,5
AUM00011212,2
AUM00011231,7
AUXLT015783,8
AUXLT059046,1
AUXLT112968,1
AUXLT113392,5
AUXLT188915,3
AUXLT389311,3
AUXLT483644,0
AUXLT505329,3
AUXLT580797,1
AUXLT631509,8
AUXLT758053,1
AUXLT817372,3
AUXLT836182,3
AUXLT891651,3
AUXLT920873,3
AUXLT945558,3
AUXLT979272,2
AUXLT989796,3
BE000006447,9
BF000078073,4
BKM00014557,6
BKM00014648,6
BKM00014654,7
BOM00026850,9
BOM00033038,2
CA001016940,5
CA001017230,2
CA001018610,7
CA001036570,0
CA001096439,5
CA001100120,3
CA001143900,0
CA001163780,4
CA001168520,0
CA001173210,2
CA003033890,7
CA003050520,1
CA004013480,1
CA004015440,0
CA004016560,8
CA004016699,8
CA004028040,0
CA004047240,0
CA004048520,0
CA004056240,4
CA004057120,8
CA005010481,2
CA005023261,8
CA005031320,0
CA006105976,9
CA007024280,5
CA007028200,6
CA007080468,1
CA008202810,4
CA008204700,0
CA008300300,5
CA008300400,6
CHM00050953,9
CHM00053463,9
CHM00054094,9
CHM00054161,9
CHM00054342,9
CHM00054511,9
CHM00054527,9
CHM00054662,9
CHM00054823,8
CHM00054857,9
CHM00056778,9
CHM00057494,8
CHM00057816,8
CHM00058238,8
CHM00058362,9
CHM00058367,9
CHM00058457,9
CHM00058847,9
CHM00059134,9
CHM00059287,5
DA000021100,1
DA000025140,6
DA000030380,9
DA000032020,1
DAE00100980,2
EG000062414,1
EGM00062378,9
EI000003953,1
EI000003969,9
EN000026038,6
EN000026242,3
EZ000011464,2
EZM00011723,7
FR000007150,9
FR000007354,5
FR000007510,9
FR000007747,8
FR069029001,9
FRE00104907,7
FRXLT062287,7
GG000037545,8
GM000001474,8
GM000002716,9
GM000003038,6
GM000003218,8
GM000003319,9
GM000003342,7
GM000004063,7
GM000004155,0
GM000004199,9
GM000004204,6
GM000010147,8
GM000010393,2
GM000010962,4
GME00004105,9
GME00102244,7
GME00102252,8
GME00102276,8
GME00102308,7
GME00102340,7
GME00102348,1
GME00102380,8
GME00102396,7
GME00111457,2
GME00114621,0
GME00115771,9
GME00120946,4
GME00120982,7
GME00120994,3
GME00121030,7
GME00121090,1
GME00121102,1
GME00121114,3
GME00121138,8
GME00121258,7
GMM00010093,3
GMM00010156,6
GMM00010471,8
GMM00010628,6
GMM00010761,5
GMM00010803,8
GMM00010838,8
GMW00035032,7
GR000016648,7
GRM00016622,7
GRXLT559558,9
HR000142360,9
HRE00105182,2
HRE00105189,1
HRE00105203,6
HRE00105217,7
HU000012942,4
HUM00012805,6
HUM00012812,6
HUM00012843,9
HUM00012882,7
HUM00012982,7
HUXLT268923,7
IN003041800,6
IN003050500,4
IN004091000,6
IN005090100,1
IN005100100,6
IN008010200,9
IN011170400,8
IN011330900,7
IN012020100,8
IN012141800,9
IN019070100,9
IN019180500,9
IN023420800,2
IN024140300,9
IR000040745,9
IT000016090,7
ITE00000170,7
ITE00002077,5
ITE00002080,5
ITE00100550,9
ITE00100554,9
ITM00016110,7
JA000047407,9
JA000047409,5
JA000047412,9
JA000047417,9
JA000047418,7
JA000047420,5
JA000047421,1
JA000047430,9
JA000047575,9
JA000047582,9
JA000047585,5
JA000047588,9
JA000047592,8
JA000047598,8
JA000047602,1
JA000047604,9
JA000047605,9
JA000047606,8
JA000047610,9
JA000047615,9
JA000047616,9
JA000047617,7
JA000047618,8
JA000047624,9
JA000047629,9
JA000047631,7
JA000047632,9
JA000047636,9
JA000047637,8
JA000047638,9
JA000047648,7
JA000047651,8
JA000047654,9
JA000047662,9
JA000047670,9
JA000047674,4
JA000047678,3
JA000047742,6
JA000047755,5
JA000047759,9
JA000047761,7
JA000047762,8
JA000047765,9
JA000047768,9
JA000047770,9
JA000047777,9
JA000047778,3
JA000047800,2
JA000047813,9
JA000047815,9
JA000047817,8
JA000047819,9
JA000047827,9
JA000047830,9
JA000047887,9
JA000047890,8
JA000047893,8
JA000047895,8
JA000047909,4
JA000047936,9
JAM00047772,9
JAM00047918,6
KG000036974,4
KS000047112,9
KS000047165,8
KSM00047105,7
KSM00047108,9
KSM00047159,9
KZ000028676,8
KZ000028952,9
KZ000035078,6
KZ000035108,8
KZ000035188,7
KZ000035229,8
KZ000035700,9
KZ000035746,5
KZ000035849,2
KZ000036177,9
KZ000036859,6
KZ000036870,9
KZ000038001,3
KZ000038062,9
KZ000038198,8
LG000026406,5
LG000026422,8
LH000026730,6
LOE00105562,4
LOM00011816,8
MD000033815,9
MR000061415,6
MT000016597,8
MX000076644,9
NLM00006260,8
NLM00006310,6
NLM00006380,7
NO000001465,0
NO000014030,0
NOE00105472,0
NOE00105483,1
NOM00001492,8
PK000041640,9
PKM00041764,8
PLM00012205,7
PLXLT474484,9
PO000008506,3
PO000008522,6
PO000008535,8
POM00008512,5
RIE00100818,9
ROE00100901,6
ROE00100903,6
ROE00108889,8
ROE00108901,7
ROM00015360,0
RSE00151755,2
RSM00026063,9
RSM00026702,9
RSM00026781,7
RSM00027037,2
RSM00027051,3
RSM00027199,8
RSM00027459,8
RSM00027595,8
RSM00027648,1
RSM00027675,2
RSM00027857,3
RSM00027995,4
RSM00028138,0
RSM00028224,8
RSM00028275,3
RSM00028440,9
RSM00028493,5
RSM00028552,7
RSM00028661,8
RSM00028698,9
RSM00028722,6
RSM00029111,0
RSM00029263,4
RSM00029430,8
RSM00029467,6
RSM00029570,8
RSM00029605,5
RSM00029612,5
RSM00029838,3
RSM00029866,7
RSM00030230,3
RSM00030309,5
RSM00030627,1
RSM00030636,1
RSM00030673,3
RSM00030710,8
RSM00030758,7
RSM00030822,1
RSM00030823,9
RSM00030879,0
RSM00030925,4
RSM00030965,4
RSM00031088,1
RSM00031253,0
RSM00031329,0
RSM00031369,3
RSM00031371,0
RSM00031510,8
RSM00031735,8
RSM00031915,2
RSM00031960,8
RSM00031961,4
RSM00032061,1
RSM00032098,2
RSM00032389,1
RSM00032618,0
RSM00034009,8
RSM00034110,1
RSM00034123,9
RSM00034139,1
RSM00034163,1
RSM00034172,9
RSM00034720,7
RSM00034824,5
RSM00034880,8
RSM00034927,8
RSM00035121,6
RSM00037018,5
RSM00037099,7
RSM00037472,8
SIE00114956,2
SIM00014015,8
SP000003195,9
SP000004452,2
SP000006155,8
SP000008202,2
SP000008280,5
SP000009434,6
SP000009981,6
SP000060010,0
SPE00119711,7
SPE00119882,7
SPE00119909,6
SPE00119936,6
SPE00120035,5
SPE00120143,6
SPE00120287,8
SPE00120323,8
SPE00120332,7
SPE00120467,7
SPE00120512,6
SPE00120521,4
SPE00120593,8
SPE00120629,1
SPM00008284,8
SPM00008359,8
SPW00014010,6
SW000002590,4
SW000008525,5
SW000024180,6
SWE00137686,4
SWE00138226,5
SWE00138228,2
SWE00138464,5
SWE00139028,5
SWE00139148,7
SWE00139172,5
SWM00002485,8
SZ000001940,9
SZ000002220,0
SZ000003700,9
SZ000006717,0
SZ000009480,7
SZE00001641,4
SZE00001644,7
SZE00001645,2
SZE00001647,2
SZE00001648,1
SZE00001652,5
SZE00001656,5
SZE00001657,2
SZE00105086,7
TSM00060715,9
TX000038507,5
TX000038687,8
TX000038763,6
TX000038880,8
TX000038895,7
TX000038987,3
UK000000000,9
UK000003026,0
UK000003162,0
UK000047811,4
UK000056225,7
UK000070765,2
UKM00003091,6
UKM00003827,7
UKM00003917,4
UKN00000326,6
UKN00000516,9
UKN00000671,4
UKN00055827,0
UKXLT476306,7
UPM00033345,8
UPM00033393,8
UPM00033506,8
UPM00033587,6
UPM00033837,8
UPM00033946,0
UPM00033976,6
UPM00033983,5
UPM00034300,8
UPM00034523,8
USC00011694,4
USC00013160,0
USC00017157,6
USC00017304,5
USC00018024,5
USC00018323,5
USC00018380,7
USC00018469,2
USC00023160,0
USC00026796,7
USC00027281,0
USC00027390,4
USC00027435,2
USC00028619,2
USC00028815,9
USC00029334,3
USC00029359,2
USC00031152,4
USC00031596,8
USC00031632,2
USC00031838,6
USC00032930,2
USC00033428,3
USC00033734,7
USC00034572,2
USC00034638,2
USC00034756,4
USC00035186,4
USC00035754,7
USC00035820,4
USC00035866,0
USC00035908,2
USC00036506,6
USC00036928,2
USC00038052,4
USC00040693,9
USC00041912,3
USC00042239,0
USC00042294,6
USC00042319,0
USC00043157,0
USC00043747,8
USC00043875,5
USC00043939,0
USC00044025,6
USC00044890,1
USC00044997,8
USC00045123,8
USC00045532,7
USC00046074,7
USC00046136,5
USC00046399,4
USC00046506,5
USC00046508,0
USC00046719,9
USC00046730,6
USC00046826,7
USC00047306,9
USC00047643,4
USC00047738,9
USC00047851,6
USC00047902,8
USC00047916,8
USC00047965,9
USC00048758,2
USC00049367,9
USC00049473,7
USC00049699,0
USC00049866,4
USC00050848,8
USC00051121,3
USC00051294,7
USC00051528,0
USC00051564,1
USC00051959,2
USC00052281,4
USC00053005,9
USC00053486,8
USC00053662,4
USC00053867,1
USC00053951,0
USC00054770,4
USC00054834,2
USC00055722,7
USC00056266,3
USC00057167,3
USC00057656,0
USC00057936,5
